//SoMachine Online Variables Export V1.0
//Important: Please do not remove or change Application CodeId and DataId Guids from this file. If you modify this file make sure it respects the syntax variable name and value separated by a semicolon
//ApplicationDataIdGuid;e9d1f037-0000-0000-0000-000000000000
//ApplicationCodeIdGuid;67725c10-0000-0000-0000-000000000000

//Variable;//Online Value;

GVL.Alert;TRUE;
GVL.alExh;FALSE;
GVL.alFan;FALSE;
GVL.alFire1;FALSE;
GVL.allAM;6;
GVL.allEce;0;
GVL.allGas;0;
GVL.allPara;0;
GVL.allWarm;0;
GVL.Alm0001;FALSE;
GVL.Alm0002;FALSE;
GVL.Alm0003;FALSE;
GVL.Alm0004;FALSE;
GVL.Alm0005;FALSE;
GVL.Alm0006;FALSE;
GVL.Alm0007;FALSE;
GVL.Alm0008;FALSE;
GVL.Alm0009;FALSE;
GVL.Alm0010;FALSE;
GVL.Alm0011;TRUE;
GVL.Alm0012;TRUE;
GVL.alPump;FALSE;
GVL.alSupport;TRUE;
GVL.AM001;FALSE;
GVL.AM002;TRUE;
GVL.AM003;TRUE;
GVL.AM004;FALSE;
GVL.AM005;FALSE;
GVL.AM006;FALSE;
GVL.AM007;FALSE;
GVL.AM008;FALSE;
GVL.amGas;TRUE;
GVL.amSupp;TRUE;
GVL.amTerm;TRUE;
GVL.backup;1;
GVL.bnAll;0;
GVL.bnStart;FALSE;
GVL.bnStop;FALSE;
GVL.cExh;948.721436;
GVL.cFan;1494.81982;
GVL.cGas;0;
GVL.check0;FALSE;
GVL.check1;FALSE;
GVL.check10;FALSE;
GVL.check11;FALSE;
GVL.check12;FALSE;
GVL.check13;FALSE;
GVL.check14;FALSE;
GVL.check15;FALSE;
GVL.check2;FALSE;
GVL.check3;FALSE;
GVL.check4;FALSE;
GVL.check5;FALSE;
GVL.check6;FALSE;
GVL.check7;FALSE;
GVL.check8;FALSE;
GVL.check9;FALSE;
GVL.checkList;0;
GVL.cPump;0;
GVL.cSupport;4000;
GVL.cTerm;0;
GVL.Cvit;FALSE;
GVL.cX;0;
GVL.dGas;8;
GVL.dSupport;40;
GVL.dTerm;40;
GVL.enthalpy;0;
GVL.ExhCurrent;1084;
GVL.ExhDC;2732.5;
GVL.ExhSpeed;602;
GVL.ExhVoltage;910;
GVL.fA000;10;
GVL.fA001;10;
GVL.fA002;10;
GVL.fA003;10;
GVL.fA004;0;
GVL.fA005;10;
GVL.fA006;10;
GVL.fA007;10;
GVL.fA010;10;
GVL.fA011;10;
GVL.fA012;10;
GVL.fA013;10;
GVL.fA014;10;
GVL.fA015;10;
GVL.fA016;10;
GVL.fA017;10;
GVL.fA020;100;
GVL.fA021;10;
GVL.fA022;10;
GVL.fA023;0;
GVL.fA024;0;
GVL.fA025;0;
